Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
83.4450428571429,0.988,0.55,3.783111903968563,2021-12-04_122400
131.9126000000018,0.988,0.14,3.3710006968731956,2021-12-04_125706
154.2272142857128,0.988,0.3,4.718008005746354,2021-12-04_134545
-185.24297857142813,0.988,0.11,3.8821581495297135,2021-12-04_141851
1095.4687142857151,0.988,0.97,3.7648899197788204,2021-12-04_145718
617.2378571428554,0.988,0.72,3.8377234263913476,2021-12-04_153021
1187.3111928571425,0.988,0.99,3.370500597179919,2021-12-04_160352
215.3757928571422,0.988,0.39,3.0499288242088167,2021-12-04_163700
391.6760785714282,0.988,0.57,8.709872359039744,2021-12-04_171507
400.9734857142858,0.988,0.89,3.312494926562909,2021-12-04_174819
-77.47146428571408,0.988,0.13,3.2862536364966353,2021-12-04_182120
143.82417857142852,0.988,0.21,8.459830760927398,2021-12-04_185422
127.63311428571514,0.988,0.62,3.737309167765205,2021-12-04_192727
8.09114285714399,0.988,0.08,3.2072808963053645,2021-12-04_200059
141.8760285714295,0.988,0.19,5.454402117066824,2021-12-04_204432
-38.3869571428557,0.988,0.13,3.786287001145365,2021-12-04_211739
-710.3658928571439,0.988,0.11,3.0858366658449357,2021-12-04_215047
1792.8430714285705,0.988,0.96,7.944949341251264,2021-12-04_222400
1660.3701500000004,0.988,0.98,3.640669068817475,2021-12-04_225703
821.0482928571433,0.988,0.93,3.071734112951673,2021-12-04_233009
253.04784285714436,0.988,0.6,4.92717707178534,2021-12-05_002405
108.75293571428705,0.988,0.54,3.3439035083139497,2021-12-05_005722
43.42772142857242,0.988,0.06,3.1856320496810415,2021-12-05_013029
-2.6708785714281364,0.988,0.21,4.859659520315629,2021-12-05_021907
1306.674535714287,0.988,1.0,3.2380816562039305,2021-12-05_025227
-229.11952857142768,0.988,0.11,3.1756916124467898,2021-12-05_032533
1282.0689428571425,0.988,0.96,4.229247269500957,2021-12-05_035839
1052.3590571428583,0.988,0.97,3.349135778355099,2021-12-05_043224
-263.6544000000009,0.988,0.11,3.144959507884507,2021-12-05_050521
355.64642142857235,0.988,0.68,7.357175248105558,2021-12-05_055400
12.387035714286387,0.988,0.27,3.530521673917418,2021-12-05_062707
-14.845535714285212,0.988,0.11,3.464044067419686,2021-12-05_070011
1926.3931142857152,0.988,1.0,6.098579938599188,2021-12-05_075948
311.87805714285554,0.988,0.85,3.0655145358575786,2021-12-05_083247
152.03373571428546,0.988,0.17,9.616976846841068,2021-12-05_090604
1150.3911428571425,0.988,0.98,5.849019098695393,2021-12-05_093903
118.11577857142731,0.988,0.78,3.1705573106360303,2021-12-05_101215
96.71482142857282,0.988,0.14,3.1771199205388205,2021-12-05_104517
914.4056642857138,0.988,0.69,5.0571711990946575,2021-12-05_112329
13.55312142857232,0.988,0.51,3.4481087567161324,2021-12-05_115649
167.27096428571457,0.988,0.16,3.3964354758713404,2021-12-05_123002
3387.3466500000013,0.988,0.96,3.79876563749656,2021-12-05_132408
2344.6088999999984,0.988,0.99,3.088014683398327,2021-12-05_135722
-93.88927857142718,0.988,0.17,2.954903350499691,2021-12-05_143055
766.1346857142844,0.988,0.91,6.1167453893995285,2021-12-05_150413
7.447649999999081,0.988,0.59,3.1419339326881546,2021-12-05_153715
