Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
5.59E-15,4.33E-09,1.051743834,1.766340436
8.50E-15,6.59E-09,0.048511121,0.553629735
6.58E-15,5.10E-09,-0.599850261,0.528868823
8.65E-15,6.70E-09,-0.178921117,0.425547184
2.42E-15,1.88E-09,-0.158726648,1.188319621
9.87E-15,7.65E-09,0.13246456,0.482244424
7.80E-13,6.05E-07,0.003729352,0.019951559
7.85E-13,6.09E-07,0.006579657,0.018285744
7.68E-13,5.95E-07,0.012715187,0.019101722
8.17E-13,6.33E-07,0.0116642,0.017914653
7.09E-13,5.49E-07,0.011177088,0.018919919
5.98E-13,4.63E-07,0.05834308,0.051554929
7.22E-13,5.60E-07,0.017136673,0.021544654
6.66E-13,5.16E-07,0.008867947,0.051223543
6.17E-13,4.78E-07,0.012073686,0.019891871
6.47E-13,5.01E-07,0.015661023,0.02107547
5.27E-13,4.08E-07,0.030749568,0.061218111
4.69E-13,3.63E-07,0.017689945,0.021753973
5.02E-13,3.89E-07,0.019030072,0.022313192
4.73E-13,3.67E-07,0.014107341,0.056864563
4.93E-13,3.82E-07,0.018575319,0.021952433
4.25E-13,3.29E-07,0.01452774,0.020802393
4.08E-13,3.16E-07,0.01568398,0.070082844
4.51E-13,3.49E-07,0.01142359,0.021011658
2.63E-13,2.04E-07,-0.045672339,0.045196529
3.96E-13,3.07E-07,0.016299778,0.021641443
2.30E-13,1.78E-07,-0.016834185,0.023120579
2.23E-13,1.73E-07,0.023535767,0.060259333
3.48E-13,2.69E-07,0.031925377,0.03218203
3.59E-13,2.78E-07,0.024579305,0.028334084
3.10E-13,2.40E-07,0.007890759,0.020226746
2.45E-13,1.90E-07,0.002872689,0.022884316
2.39E-13,1.85E-07,0.001471712,0.020604392
2.32E-13,1.80E-07,0.005136181,0.023822374
2.07E-13,1.60E-07,0.013697823,0.024693947
2.61E-13,2.03E-07,0.067002712,0.060877447
1.96E-13,1.52E-07,0.013697691,0.026097439
1.99E-13,1.54E-07,0.003632575,0.021560915
1.70E-13,1.32E-07,0.001871781,0.022482289
1.56E-13,1.21E-07,0.002740703,0.024824852
1.86E-13,1.44E-07,0.021328781,0.031577332
1.31E-13,1.01E-07,0.017968751,0.070719354
1.69E-13,1.31E-07,0.026996117,0.035507761
1.36E-13,1.05E-07,0.009200995,0.029084723
1.70E-13,1.32E-07,0.020171394,0.059817865
1.71E-13,1.32E-07,0.010231768,0.025138163
9.14E-14,7.08E-08,-0.043249914,0.042395899
1.15E-13,8.88E-08,-0.008954282,0.030082876
8.02E-14,6.22E-08,-0.003872955,0.036959347
7.15E-14,5.54E-08,0.009078738,0.045462386
9.45E-14,7.32E-08,0.041921622,0.059786533
9.08E-14,7.03E-08,0.012194918,0.037927506
8.92E-14,6.91E-08,-0.003628819,0.037680304
9.59E-14,7.43E-08,0.007708697,0.03849114
9.11E-14,7.06E-08,0.016323907,0.041283251
8.72E-14,6.76E-08,0.021652235,0.042148
6.55E-14,5.07E-08,0.028031429,0.059243659
7.36E-14,5.70E-08,0.062466923,0.078175592
6.38E-14,4.94E-08,0.003776023,0.066570389
6.79E-14,5.26E-08,0.01683367,0.047485427
7.64E-14,5.92E-08,0.000394752,0.04162872
4.64E-14,3.60E-08,0.007757125,0.078080627
4.16E-14,3.22E-08,0.011254094,0.070284124
5.54E-14,4.30E-08,0.018931722,0.058977057
5.65E-14,4.38E-08,0.002357263,0.0565641
5.54E-14,4.29E-08,0.018470743,0.058450202
4.53E-14,3.51E-08,-0.015017035,0.061901198
4.76E-14,3.69E-08,-0.005039417,0.080042208
4.41E-14,3.42E-08,0.017267743,0.078205306
5.22E-14,4.05E-08,0.070813608,0.101947532
4.01E-14,3.11E-08,-0.008726913,0.077357621
2.16E-14,1.68E-08,-0.061875265,0.111804654
2.22E-14,1.72E-08,-0.003520052,0.138459709
3.81E-14,2.95E-08,0.044016018,0.107851283
3.42E-14,2.65E-08,0.012725104,0.090967663
3.13E-14,2.43E-08,-0.001285486,0.088102296
3.28E-14,2.54E-08,-0.001664571,0.085946569
2.59E-14,2.01E-08,0.003188922,0.112360872
2.51E-14,1.94E-08,0.003782017,0.123654491
1.22E-14,9.48E-09,-0.066884223,0.204736041
3.03E-14,2.35E-08,-0.003045523,0.108565808
1.71E-14,1.33E-08,0.019674353,0.193264333
1.54E-14,1.20E-08,0.055726687,0.483849553
1.84E-14,1.43E-08,0.083729426,0.204577188
1.92E-14,1.48E-08,0.00637014,0.140970182
1.93E-14,1.50E-08,0.024825163,0.21443551
1.44E-14,1.11E-08,0.073268671,0.26177767
1.77E-14,1.37E-08,-0.033780485,0.19973499
1.47E-14,1.14E-08,-0.052558821,0.23903948
1.37E-14,1.06E-08,0.036673354,0.36712942
1.39E-14,1.08E-08,0.004137627,0.291423811
1.31E-14,1.02E-08,-0.001137329,0.272132505
1.27E-14,9.82E-09,-0.023528678,0.580810996
1.40E-14,1.08E-08,0.372408421,0.607789833
1.22E-14,9.43E-09,0.02713543,0.442492801
1.50E-14,1.17E-08,0.085434596,0.25526372
2.93E-15,2.27E-09,-2.471217329,22.86647412
7.73E-15,5.99E-09,0.251809117,0.728187277
1.38E-14,1.07E-08,0.122024975,0.429997856
1.09E-14,8.44E-09,0.107997176,0.588946151
1.24E-14,9.58E-09,0.011097589,0.387517561
2.75E-15,2.13E-09,-0.244104952,3.367372914
8.51E-15,6.60E-09,0.291885199,1.146230014
1.23E-14,9.55E-09,0.081882425,0.833608072
1.01E-14,7.85E-09,0.085770312,1.458397528
1.25E-14,9.69E-09,0.013442022,0.518322341
1.63E-14,1.27E-08,-0.063576025,0.256230332
2.45E-14,1.90E-08,0.128415967,0.265761027
2.19E-14,1.69E-08,-0.033748724,0.136252428
