Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
6.28E-15,6.28E-07,-0.062975561,0.075271755
-1.94E-16,-1.94E-08,-0.248633658,0.220241209
2.87E-15,2.87E-07,0.058367728,0.119472706
1.33E-14,1.33E-06,-0.003893588,0.022675703
2.30E-15,2.30E-07,-0.093993019,0.138624092
5.49E-15,5.49E-07,0.036837061,0.070635489
3.31E-15,3.31E-07,-0.733305748,2.940772118
1.57E-14,1.57E-06,0.003900866,0.034959876
1.82E-15,1.82E-07,-0.101088383,0.115494787
1.23E-14,1.23E-06,0.269966529,0.195316589
8.08E-15,8.08E-07,0.110838673,0.182727645
1.06E-14,1.06E-06,0.02655983,0.036842853
9.08E-15,9.08E-07,-0.029035843,0.04617643
1.78E-15,1.78E-07,-0.024562312,0.236642983
9.25E-15,9.25E-07,0.008048693,0.060102632
2.19E-14,2.19E-06,0.170255379,0.123347152
2.20E-16,2.20E-08,-0.278146959,0.236302452
8.37E-15,8.37E-07,0.292916156,0.236347542
4.02E-12,0.000402293,9.830171761,10.23335628
1.52E-14,1.52E-06,0.123164053,0.085490374
4.52E-15,4.52E-07,-0.07916332,0.078275779
2.22E-15,2.22E-07,0.086791485,0.212713711
9.53E-15,9.53E-07,0.033697465,0.069499607
7.05E-15,7.05E-07,0.038527736,0.101045876
1.11E-15,1.11E-07,-0.171361639,0.204350778
1.14E-14,1.14E-06,0.117097042,0.074668818
1.06E-15,1.06E-07,-0.196546241,0.162057538
4.66E-15,4.66E-07,-0.072891668,0.073725834
1.11E-15,1.11E-07,-0.271712729,0.435002246
3.44E-15,3.44E-07,-0.106268906,0.113518226
1.82E-14,1.82E-06,0.019286366,0.02465579
1.12E-14,1.12E-06,0.011045034,0.035248724
1.13E-14,1.13E-06,0.017727711,0.034369053
1.05E-14,1.05E-06,0.004170105,0.033560697
1.05E-14,1.05E-06,0.008704494,0.039665517
1.05E-14,1.05E-06,-0.035745701,0.041749364
1.01E-14,1.01E-06,0.024544183,0.047392814
8.64E-15,8.64E-07,-0.025320396,0.037246379
1.39E-14,1.39E-06,0.016689833,0.033299017
1.70E-14,1.70E-06,0.003022351,0.019756951
1.49E-14,1.49E-06,-0.008655892,0.050035484
1.28E-14,1.28E-06,-0.014360244,0.037975111
8.31E-15,8.31E-07,0.019411529,0.048189747
1.63E-14,1.63E-06,0.030989915,0.039593287
1.67E-14,1.67E-06,0.055235708,0.044299485
8.56E-15,8.56E-07,-0.004259732,0.07200104
8.22E-15,8.22E-07,0.029926848,0.057724545
7.41E-15,7.41E-07,0.038039087,0.064458186
7.33E-15,7.33E-07,0.087481887,0.116934458
1.19E-14,1.19E-06,0.098876186,0.105749412
1.42E-14,1.42E-06,0.018218611,0.067435166
1.39E-14,1.39E-06,-0.010831754,0.062939837
1.26E-14,1.26E-06,-0.004419921,0.058957256
1.50E-14,1.50E-06,0.032913935,0.034237574
1.52E-14,1.52E-06,-0.004459042,0.027167201
8.89E-15,8.89E-07,-0.02818471,0.039399067
1.07E-14,1.07E-06,-0.030920253,0.036921728
1.30E-14,1.30E-06,-0.007426567,0.03303751
1.06E-14,1.06E-06,-0.003780817,0.030460978
8.42E-15,8.42E-07,-0.004798717,0.036983793
1.00E-14,1.00E-06,0.010104145,0.051482075
6.02E-15,6.02E-07,-0.045849264,0.053761462
8.39E-15,8.39E-07,-0.045487142,0.048807322
1.06E-14,1.06E-06,-0.016754546,0.030726636
1.01E-14,1.01E-06,-0.00032377,0.033048483
9.56E-15,9.56E-07,-0.016495812,0.034746134
7.57E-15,7.57E-07,-0.014589419,0.040012007
5.20E-15,5.20E-07,-0.043230674,0.05874387
2.41E-15,2.41E-07,-0.049123484,0.101975778
8.08E-15,8.08E-07,0.067847074,0.086715268
