Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
1.33E-17,5.32E-09,-0.306514052,3.075306061
7.59E-20,3.04E-11,-0.057982077,2.910007437
6.05E-19,2.42E-10,-1.067429501,14.25359545
2.46E-15,9.85E-07,-0.022335442,0.031111395
7.48E-16,2.99E-07,-0.045048608,0.050751553
8.88E-16,3.55E-07,-0.028736231,0.037616058
4.24E-16,1.69E-07,0.002038267,0.062804405
3.71E-16,1.49E-07,-0.001469459,0.027856875
2.04E-16,8.15E-08,-0.016035278,0.037642092
1.11E-16,4.45E-08,-0.008891918,0.063846634
4.22E-17,1.69E-08,-0.020768863,0.151171037
1.87E-17,7.46E-09,0.035278618,0.935678579
2.73E-17,1.09E-08,0.022510906,0.257632775
1.49E-17,5.95E-09,-0.011668922,1.103699475
2.42E-17,9.67E-09,0.13399787,0.957718112
1.54E-17,6.14E-09,-0.136806754,1.408851797
2.78E-18,1.11E-09,-2.675311221,43.20720612
5.86E-20,2.34E-11,0.26985304,5.555395364
1.25E-15,4.99E-07,-0.048349145,0.039471217
1.23E-15,4.93E-07,-0.016952187,0.060710245
1.11E-15,4.43E-07,-0.005039919,0.018132015
5.46E-16,2.18E-07,-0.016916824,0.028161407
2.23E-16,8.93E-08,0.00694406,0.034612744
1.29E-16,5.17E-08,0.032085651,0.064835818
5.63E-17,2.25E-08,-0.013157904,0.149409109
5.52E-17,2.21E-08,-0.050164639,0.123293495
3.35E-17,1.34E-08,0.01717767,0.25527939
3.31E-17,1.32E-08,0.00748215,0.208491161
4.59E-18,1.84E-09,-0.119825183,1.960539676
1.90E-17,7.61E-09,0.00538714,0.937412635
1.37E-17,5.49E-09,0.004916102,3.497380644
9.67E-18,3.87E-09,-0.164560107,2.428960596
1.47E-17,5.88E-09,0.194100692,1.664828971
2.54E-15,1.02E-06,-0.016040438,0.022865503
1.06E-15,4.23E-07,-0.023747883,0.030351871
7.14E-16,2.86E-07,-0.043806918,0.05379591
3.76E-16,1.50E-07,0.006424748,0.027223047
3.32E-16,1.33E-07,-0.012501769,0.028038304
1.68E-16,6.72E-08,0.002248784,0.046519054
4.14E-17,1.65E-08,-0.064259939,0.149896092
2.43E-17,9.73E-09,-0.056695192,0.69275611
